firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,,FIRST 4 NUMBERS,,globe:,
﻿firstname,lastname,birthmonth,birthday,1997,course,phonenumber,,,,917,1026
name1,lastname1,November,26,1998,Legal Management,0918 302 6210,,0918,,927,1019
name2,lastname2,May,26,2001,Management,0927 212 6276,,0927,,TOTAL:,2045
name3,lastname3,May,16,1997,Communications Technology,0918 253 7017,,0918,,sun:,
name4,lastname4,December,9,1997,Information Technology Entrepreneurship,0918 714 4360,,0918,,918,955
name5,lastname5,September,5,1997,Communications Technology,0927 462 1674,,0927,,,
name6,lastname6,March,2,1999,Management,0918 629 5268,,0918,,,
name7,lastname7,November,10,1998,Legal Management,0917 369 7388,,0917,,,
name8,lastname8,August,28,1999,Management Engineering,0917 240 6000,,0917,,,
name9,lastname9,July,10,1997,Management Engineering,0918 226 5748,,0918,,,
name10,lastname10,September,14,2001,Communications Technology,0918 342 1717,,0918,,,
name11,lastname11,December,8,1998,Legal Management,0927 708 1308,,0927,,,
name12,lastname12,May,4,1997,Management Engineering,0927 747 5497,,0927,,,
name13,lastname13,January,28,1999,Communications Technology,0917 959 4490,,0917,,,
name14,lastname14,January,11,1999,Management,0927 543 4192,,0927,,,
name15,lastname15,June,6,1998,Information Technology Entrepreneurship,0917 211 9497,,0917,,,
name16,lastname16,April,20,1999,Legal Management,0918 185 5162,,0918,,,
name17,lastname17,January,3,1997,Information Technology Entrepreneurship,0927 146 8146,,0927,,,
name18,lastname18,April,8,1997,Management,0927 516 4280,,0927,,,
name19,lastname19,December,28,1997,Information Technology Entrepreneurship,0927 958 6909,,0927,,,
name20,lastname20,March,10,1997,Management Engineering,0917 514 9105,,0917,,,
name21,lastname21,July,13,1999,Legal Management,0927 984 7499,,0927,,,
name22,lastname22,September,15,1999,Information Technology Entrepreneurship,0927 699 3694,,0927,,,
name23,lastname23,April,15,1997,Management,0917 317 2478,,0917,,,
name24,lastname24,October,1,1997,Management Engineering,0917 159 3829,,0917,,,
name25,lastname25,May,6,1997,Management Engineering,0918 898 6972,,0918,,,
name26,lastname26,December,5,1999,Management Engineering,0917 796 4622,,0917,,,
name27,lastname27,March,4,1997,Communications Technology,0927 138 7580,,0927,,,
name28,lastname28,November,10,2000,Legal Management,0917 195 9244,,0917,,,
name29,lastname29,October,10,1999,Legal Management,0917 643 3996,,0917,,,
name30,lastname30,May,28,1999,Communications Technology,0917 758 3119,,0917,,,
name31,lastname31,April,6,1999,Information Technology Entrepreneurship,0918 669 4265,,0918,,,
name32,lastname32,July,16,1999,Management,0917 750 8539,,0917,,,
name33,lastname33,December,17,1999,Information Technology Entrepreneurship,0927 236 9504,,0927,,,
name34,lastname34,October,4,1999,Legal Management,0917 438 4447,,0917,,,
name35,lastname35,July,14,2001,Information Technology Entrepreneurship,0917 773 6035,,0917,,,
name36,lastname36,December,11,1998,Management,0918 455 4185,,0918,,,
name37,lastname37,February,2,2000,Management,0927 889 9252,,0927,,,
name38,lastname38,August,25,2001,Legal Management,0927 874 8083,,0927,,,
name39,lastname39,May,3,1997,Management Engineering,0927 842 3053,,0927,,,
name40,lastname40,February,27,1998,Legal Management,0927 923 1234,,0927,,,
name41,lastname41,November,16,1999,Management,0918 381 4956,,0918,,,
name42,lastname42,September,24,1998,Legal Management,0918 602 9278,,0918,,,
name43,lastname43,January,13,1999,Management,0918 532 6748,,0918,,,
name44,lastname44,February,25,1998,Information Technology Entrepreneurship,0917 654 1291,,0917,,,
name45,lastname45,January,27,1997,Management Engineering,0918 244 1683,,0918,,,
name46,lastname46,December,24,1998,Management Engineering,0917 818 1190,,0917,,,
name47,lastname47,August,23,1999,Management,0917 468 6425,,0917,,,
name48,lastname48,April,13,1999,Information Technology Entrepreneurship,0918 635 1688,,0918,,,
name49,lastname49,October,11,1997,Legal Management,0917 821 1896,,0917,,,
name50,lastname50,March,25,2001,Legal Management,0927 924 9506,,0927,,,
name51,lastname51,August,22,1998,Information Technology Entrepreneurship,0918 854 2626,,0918,,,
name52,lastname52,March,21,1999,Communications Technology,0918 438 9745,,0918,,,
name53,lastname53,December,15,2000,Management,0917 893 8235,,0917,,,
name54,lastname54,July,10,1998,Communications Technology,0918 216 5250,,0918,,,
name55,lastname55,May,8,1998,Management Engineering,0917 257 1057,,0917,,,
name56,lastname56,September,9,1998,Management Engineering,0927 949 5098,,0927,,,
name57,lastname57,May,9,2001,Communications Technology,0927 766 6306,,0927,,,
name58,lastname58,April,6,1997,Management Engineering,0918 851 8794,,0918,,,
name59,lastname59,April,24,1998,Information Technology Entrepreneurship,0917 901 2860,,0917,,,
name60,lastname60,August,26,1999,Information Technology Entrepreneurship,0918 681 5912,,0918,,,
name61,lastname61,September,8,1998,Communications Technology,0918 340 1320,,0918,,,
name62,lastname62,December,7,2000,Information Technology Entrepreneurship,0927 551 1326,,0927,,,
name63,lastname63,February,22,2000,Management Engineering,0918 975 4142,,0918,,,
name64,lastname64,November,13,1997,Information Technology Entrepreneurship,0917 466 1269,,0917,,,
name65,lastname65,March,23,1997,Management Engineering,0927 627 1302,,0927,,,
name66,lastname66,September,24,1997,Legal Management,0917 553 5101,,0917,,,
name67,lastname67,December,9,1997,Communications Technology,0917 442 5313,,0917,,,
name68,lastname68,November,4,2001,Management,0927 715 7133,,0927,,,
name69,lastname69,November,19,1998,Communications Technology,0917 448 4860,,0917,,,
name70,lastname70,May,12,1998,Legal Management,0917 255 1167,,0917,,,
name71,lastname71,August,19,1999,Communications Technology,0918 461 3486,,0918,,,
name72,lastname72,December,1,1999,Management,0927 347 7129,,0927,,,
name73,lastname73,June,21,1998,Management Engineering,0918 404 6593,,0918,,,
name74,lastname74,October,25,1997,Legal Management,0927 737 8051,,0927,,,
name75,lastname75,September,17,1998,Information Technology Entrepreneurship,0927 348 7430,,0927,,,
name76,lastname76,February,2,1997,Communications Technology,0927 188 4940,,0927,,,
name77,lastname77,May,19,2000,Communications Technology,0918 961 3285,,0918,,,
name78,lastname78,September,15,2000,Management,0918 510 5817,,0918,,,
